tahun,bulan,kode_prov_baru,kode_kab_baru,jenis_akomodasi,kelas_akomodasi,room,bed,room_yesterday,room_in,room_out,wna_yesterday,wni_yesterday,wna_in,wni_in,wna_out,wni_out
2023,1,81,04,2,3,930,1364,156,91,88,0,312,0,182,0,176
2023,1,81,05,2,3,2015,1456,64,27,26,0,109,0,37,0,35
2023,1,81,06,2,3,2077,3131,65,45,48,0,90,0,67,0,73
2023,1,81,07,2,3,2790,3193,13,294,273,0,19,0,367,0,333
2023,1,81,71,2,3,11289,13331,2609,1597,1583,0,3103,0,1856,0,1830
2023,1,81,72,2,3,775,775,41,42,41,0,82,0,84,0,82
2023,1,81,02,2,4,1550,2294,95,38,45,0,95,0,38,0,45
2023,1,81,03,2,4,2666,3658,74,78,74,0,108,0,112,0,108
2023,1,81,71,2,4,12598,18451,4757,2660,2678,0,6546,0,4185,0,4246
2023,1,82,05,1,1,1550,2263,220,160,179,14,386,10,254,10,276
2023,1,82,71,1,2,9486,12989,3472,2386,2501,16,6180,3,4355,3,4585
2023,1,82,07,1,3,2015,3441,471,127,152,0,757,31,185,0,241
2023,1,82,71,1,3,5146,6448,1827,1125,1109,23,3029,23,1858,23,1830
2023,1,82,71,1,4,6045,11780,3231,1949,2068,60,5451,34,3101,30,3345
2023,2,16,001,2,1,756,1008,144,149,144,0,288,0,297,0,288
2023,2,16,002,2,1,1736,2408,348,342,348,0,622,0,608,0,622
2023,2,16,003,2,1,784,1008,100,84,84,0,144,0,128,0,128
2023,2,16,004,2,1,252,308,55,53,55,0,55,0,53,0,55
2023,2,16,008,2,1,4311,6271,442,424,424,0,1095,0,1049,0,1049
2023,2,16,71,2,1,1176,1862,588,420,410,0,1176,0,833,0,819
2023,2,16,72,2,1,392,392,31,31,31,0,35,0,32,0,31
2023,2,16,73,2,1,2887,3719,515,428,405,0,999,0,1053,0,999
2023,2,16,74,2,1,945,980,197,202,197,0,386,0,397,0,386
2023,2,16,001,2,2,7434,11277,879,859,879,0,1757,0,1716,0,1757
2023,2,16,002,2,2,6797,8169,1407,1382,1407,0,2795,0,2749,0,2791
2023,2,16,003,2,2,2856,4234,980,985,980,0,1711,0,1301,0,1252
2023,2,16,004,2,2,1848,3136,598,516,542,0,598,0,516,0,542
2023,2,16,005,2,2,672,728,65,61,63,0,126,0,120,0,122
2023,2,16,006,2,2,7336,13888,3014,1712,1708,0,6582,0,3440,0,3418
2023,2,16,007,2,2,1092,1260,393,395,393,0,124,0,774,0,772
2023,2,16,008,2,2,4704,8311,938,821,818,3,2145,3,1697,3,1686
